Zeitstempel,Anfangsbuchstabe des Vornamens Ihrer Mutter,Anfangsbuchstabe des Mädchennamens Ihrer Mutter,Dritter Buchstabe des Geburtsmonats Ihrer Mutter,Anfangsbuchstabe Ihres Geburtsortes ,Anfangsbuchstabe des Vornamens Ihres Vaters,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ","Warum üben Sie Sport aus?   [Wegen der Begeisterung, die ich empfinde, wenn ich wirklich an einer Aktivität beteiligt bin]","Warum üben Sie Sport aus?   [Weil es die Art und Weise ist, wie ich mein Leben leben möchte]","Warum üben Sie Sport aus?   [Weil es eine gute Möglichkeit ist, viele Dinge zu lernen, die mir in anderen Bereichen meines Lebens nützlich sein könnten]","Warum üben Sie Sport aus?   [Weil es mir erlaubt, bei den Menschen, die ich kenne, gut angesehen zu sein]","Warum üben Sie Sport aus?   [Ich weiß es nicht mehr; ich habe den Eindruck, dass ich in meiner Sportart nicht erfolgreich sein kann]","Warum üben Sie Sport aus?   [Weil ich eine große persönliche Befriedigung empfinde, wenn ich bestimmte schwierige Trainingstechniken beherrsche]","Warum üben Sie Sport aus?   [Weil es absolut notwendig ist, Sport zu treiben, wenn man in Form sein will]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, um andere Aspekte meines Lebens weiter zu entwickeln]",Warum üben Sie Sport aus?   [Weil er ein Teil von mir ist],"Warum üben Sie Sport aus?   [Weil ich Sport treiben muss, um mich selbst gut zu fühlen]",Warum üben Sie Sport aus?   [Wegen des Ansehens eines Sportlers / einer Sportlerin],"Warum üben Sie Sport aus?   [Ich weiß nicht, ob ich weiterhin so viel Zeit und Mühe in meinen Sport investieren möchte]",Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport mit meinen innersten Grundsätzen übereinstimmt],"Warum üben Sie Sport aus?   [Wegen der Zufriedenheit, die ich erfahre, während ich meine Fähigkeiten perfektioniere]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, gute Beziehungen zu meinen FreundInnen zu pflegen]","Warum üben Sie Sport aus?   [Weil ich mich schlecht fühlen würde, wenn ich mir keine Zeit dafür nehmen würde]","Warum üben Sie Sport aus?   [Es ist mir nicht mehr klar. Ich glaube nicht, dass Sport noch weiterhin was für mich ist.]","Warum üben Sie Sport aus?   [Ich empfinde Freude daran neue Strategien auszuprobieren, um meine Leistung zu verbessern.]","Warum üben Sie Sport aus?   [Wegen der materiellen oder sozialen Vorteile, die man als SportlerIn hat]",Warum üben Sie Sport aus?   [Weil ich durch hartes Training meine Leistung verbessern kann],Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport ein fester Bestandteil meines Lebens ist],"Warum üben Sie Sport aus?   [Ich habe das Gefühl, dass mir mein Sport nicht mehr so viel Spaß macht wie früher]",Warum üben Sie Sport aus?   [Weil ich regelmäßig Sport treiben muss],"Warum üben Sie Sport aus?   [Um anderen zu zeigen, wie gut ich in meinem Sport bin]",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  "
03.06.2023 14:50:50,A,B,B,K,D,Weiblich,22,5-6 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Nein
03.06.2023 14:58:27,A,I,R,W,D,Weiblich,23,3-4 mal die Woche,"Fitness-Kurse, Tanzen",Ja,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 09:28:37,M,O,T,A,M,Weiblich,25,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 09:30:14,K,S,R,K,W,Weiblich,18,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen",Ja,Nein
05.06.2023 09:32:37,A,W,R,K,H,Weiblich,18,1-2 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fahrrad fahren ",Ja,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Nie,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 09:34:10,B,B,L,C,R,Weiblich,34,1-2 mal die Woche,Yoga,Ja,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 09:35:27,B,B,Z,S,E,Männlich,34,Gar nicht,"Joggen, Kraftsport",Nein,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 09:35:49,M,V,v,W,K,Weiblich,85,Jeden Tag,Fahrradfahren,Nein,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Nie,Um mir Ziele zu setzen,Nein,Nein
05.06.2023 09:39:10,A,H,T,L,A,Weiblich,17,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Nein,Nein
05.06.2023 09:40:01,E,Z,L,K,T,Männlich,26,3-4 mal die Woche,Kraftsport,Ja,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 09:40:39,C,N,N,F,M,Weiblich,20,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 09:40:56,V,V,M,A,C,Weiblich,27,3-4 mal die Woche,"Kraftsport, Fitness-Kurse",Nein,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Nie,Zum Tracken meiner Leistungen,Ja,Ja
05.06.2023 09:42:41,P,J,N,K,U,Weiblich,28,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,5 - trifft voll zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 09:48:45,A,B,N,K,G,Männlich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Ja
05.06.2023 09:49:24,D,K,Z,O,S,Weiblich,36,3-4 mal die Woche,"Joggen, Kraftsport, Tanzen",Ja,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 09:52:15,J,S,N,B,R,Weiblich,23,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Nein,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,Nie,Benutze keine,Nein,Nein
05.06.2023 09:53:52,K,S,R,S,M,Weiblich,23,3-4 mal die Woche,"Fitness-Kurse, Tanzen",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei wenigen Trainings,"Um Kurse zu Buchen, Um mir Ziele zu setzen",Ja,Ja
05.06.2023 09:54:23,P,N,D,K,W,Männlich,23,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 09:54:33,N,K,R,G,H,Weiblich,23,1-2 mal die Woche,Kraftsport,Ja,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 09:55:42,A,M,R,T,T,Männlich,25,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Ja
05.06.2023 09:56:19,M,K,P,L,R,Weiblich,24,3-4 mal die Woche,Kraftsport,Ja,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei jedem Training,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 09:59:05,K,S,B,K,S,Weiblich,22,5-6 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 09:59:12,L,S,Z,K,H,Weiblich,17,1-2 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen",Ja,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein
